loc_x,loc_y,shot_distance,shot_made,shot_type
-32,0,3,True,2PT
11,5,1,True,2PT
21,103,10,True,2PT
-10,10,1,True,2PT
0,11,1,True,2PT
1,1,0,True,2PT
-12,15,1,True,2PT
-9,38,3,True,2PT
-15,17,2,False,2PT
0,11,1,True,2PT
-235,-8,23,False,3PT
-2,13,1,False,2PT
105,232,25,True,3PT
16,17,2,False,2PT
66,248,25,False,3PT
-27,1,2,True,2PT
-2,1,0,True,2PT
16,8,1,False,2PT
18,7,1,False,2PT
-12,13,1,True,2PT
10,18,2,True,2PT
-27,11,2,True,2PT
-88,249,26,False,3PT
-47,26,5,False,2PT
45,20,4,False,2PT
-18,13,2,True,2PT
43,7,4,False,2PT
-15,5,1,True,2PT
-20,-6,2,True,2PT
-235,-10,23,False,3PT
-237,-7,23,False,3PT
27,40,4,False,2PT
-9,-2,0,True,2PT
25,-4,2,True,2PT
-9,64,6,True,2PT
7,4,0,True,2PT
23,0,2,True,2PT
-17,11,2,True,2PT
48,12,4,False,2PT
119,254,28,False,3PT
-229,5,22,False,3PT
12,-1,1,True,2PT
22,8,2,True,2PT
31,21,3,False,2PT
-4,14,1,True,2PT
1,15,1,True,2PT
112,243,26,True,3PT
-40,21,4,False,2PT
-1,124,12,False,2PT
-5,-4,0,True,2PT
0,0,0,True,2PT
13,13,1,True,2PT
123,214,24,True,3PT
-6,15,1,False,2PT
-31,44,5,False,2PT
15,57,5,True,2PT
9,0,0,False,2PT
7,0,0,True,2PT
-131,230,26,True,3PT
32,80,8,True,2PT
-113,41,12,True,2PT
-37,91,9,False,2PT
7,256,25,False,3PT
4,4,0,True,2PT
-7,6,0,True,2PT
5,88,8,False,2PT
-229,-5,22,False,3PT
-99,160,18,False,2PT
31,-4,3,False,2PT
28,34,4,False,2PT
228,3,22,False,3PT
-34,110,11,True,2PT
7,23,2,False,2PT
-10,26,2,False,2PT
-9,22,2,True,2PT
-34,42,5,False,2PT
-135,224,26,False,3PT
-225,77,23,False,3PT
26,19,3,False,2PT
4,13,1,True,2PT
219,146,26,False,3PT
-2,3,0,True,2PT
-21,9,2,False,2PT
102,248,26,False,3PT
52,18,5,True,2PT
98,237,25,False,3PT
-241,-6,24,False,3PT
