hex_center_x,hex_center_y,exact_bulls_fga,displayed,low_volume_gray,nearby_bulls_fga,nearby_bulls_fg_pct,nearby_nba_fga,nearby_nba_fg_pct,bulls_vs_nba_fg_pct_points,color_rated,color_band,size_cap_fga,radius_fraction
138.8889,195.0000,13,True,False,404,34.1584,10716,34.5185,-0.3601,True,approximately average,127.0250,0.3199
138.8889,230.0000,75,True,False,448,34.5982,12256,34.3179,0.2803,True,approximately average,127.0250,0.7684
138.8889,265.0000,1,False,False,201,35.3234,6251,34.0586,1.2648,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
138.8889,300.0000,0,False,False,6,16.6667,532,32.7068,-16.0401,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
166.6667,-50.0000,0,False,False,2,0.0000,103,33.0097,-33.0097,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
166.6667,-15.0000,2,False,False,15,60.0000,811,40.5672,19.4328,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
166.6667,20.0000,0,False,False,22,54.5455,1393,42.0675,12.4780,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
166.6667,55.0000,0,False,False,14,57.1429,1133,41.2180,15.9249,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
166.6667,90.0000,0,False,False,7,57.1429,941,42.8268,14.3161,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
166.6667,125.0000,0,False,False,41,31.7073,1808,40.9845,-9.2772,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
166.6667,160.0000,0,False,False,234,31.1966,6884,35.8948,-4.6982,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
166.6667,195.0000,87,True,False,388,30.6701,10582,35.2296,-4.5595,True,below,127.0250,0.8276
166.6667,230.0000,21,True,False,379,32.1900,10044,34.5480,-2.3580,True,approximately average,127.0250,0.4066
166.6667,265.0000,0,False,False,60,30.0000,2149,33.8297,-3.8297,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
166.6667,300.0000,0,False,False,3,33.3333,242,31.8182,1.5152,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
194.4444,-50.0000,0,False,False,10,50.0000,233,36.9099,13.0901,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
194.4444,-15.0000,0,False,False,178,42.6966,4021,38.3984,4.2982,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
194.4444,20.0000,2,False,False,245,42.8571,7393,38.6176,4.2395,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
194.4444,55.0000,2,False,False,125,42.4000,4550,38.8132,3.5868,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
194.4444,90.0000,0,False,False,95,35.7895,3284,36.9671,-1.1776,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
194.4444,125.0000,3,True,False,118,32.2034,4709,36.1011,-3.8977,True,below,127.0250,0.2500
194.4444,160.0000,30,True,False,231,30.7359,7122,35.8326,-5.0967,True,below,127.0250,0.4860
194.4444,195.0000,24,True,False,292,30.1370,8268,35.2322,-5.0952,True,below,127.0250,0.4347
