season,player_id,log_name,games_with_and1,and1s,and1s_3pt,and1s_flagrant,and1s_made_ft,player_name,games,off_poss,pbpstats_and1s,per_100,nba_rank,bbr_and1s,diff_bbr,diff_pbpstats
2013-14,203503,Snell,4,4,0,0,3,Tony Snell,77,2291,4,0.17459624618070713,286.0,4.0,0.0,0
2014-15,1737,Mohammed,1,1,0,0,0,Nazr Mohammed,23,247,1,0.4048582995951417,377.0,1.0,0.0,0
2014-15,2200,Gasol,29,34,0,0,27,Pau Gasol,78,5233,34,0.6497229122874069,20.0,34.0,0.0,0
2014-15,2399,Dunleavy,5,5,0,0,4,Mike Dunleavy,63,3525,5,0.14184397163120568,271.0,5.0,0.0,0
2014-15,2550,Hinrich,3,3,1,0,2,Kirk Hinrich,66,3116,3,0.0962772785622593,322.0,3.0,0.0,0
2014-15,201149,Noah,7,8,0,0,6,Joakim Noah,67,3956,8,0.20222446916076844,207.0,8.0,0.0,0
2014-15,201166,Brooks,10,12,3,0,11,Aaron Brooks,82,3630,12,0.3305785123966942,146.0,12.0,0.0,0
2014-15,201565,Rose,18,19,0,0,14,Derrick Rose,51,3013,19,0.6306007301692665,73.0,19.0,0.0,0
2014-15,201959,Gibson,14,14,0,0,11,Taj Gibson,62,3211,14,0.43600124571784493,125.0,14.0,0.0,0
2014-15,202703,Mirotic,16,18,0,0,13,Nikola Mirotic,82,3172,18,0.5674653215636822,85.0,18.0,0.0,0
2014-15,202710,Butler III,26,30,1,0,27,Jimmy Butler,65,4852,30,0.6183017312448474,33.0,30.0,0.0,0
2014-15,203503,Snell,4,4,0,0,3,Tony Snell,72,2715,4,0.14732965009208104,288.0,4.0,0.0,0
2014-15,203926,McDermott,3,3,0,0,2,Doug McDermott,36,625,3,0.48,322.0,3.0,0.0,0
2014-15,203946,Bairstow,1,1,0,0,1,Cameron Bairstow,18,127,1,0.7874015748031497,377.0,1.0,0.0,0
2015-16,2200,Gasol,22,27,0,0,23,Pau Gasol,72,4598,27,0.58721183123097,39.0,27.0,0.0,0
2015-16,2399,Dunleavy,5,5,0,0,5,Mike Dunleavy,31,1393,5,0.3589375448671931,270.0,5.0,0.0,0
2015-16,2550,Hinrich,2,2,0,0,2,Kirk Hinrich,35,1091,2,0.18331805682859761,350.0,2.0,0.0,0
2015-16,201149,Noah,1,1,0,0,0,Joakim Noah,29,1246,1,0.08025682182985554,377.0,1.0,0.0,0
2015-16,201166,Brooks,3,5,0,0,5,Aaron Brooks,69,2181,5,0.22925263640531865,270.0,5.0,0.0,0
2015-16,201565,Rose,19,23,0,0,17,Derrick Rose,66,4207,23,0.5467078678393155,57.0,23.0,0.0,0
2015-16,201959,Gibson,18,23,0,0,20,Taj Gibson,73,3772,23,0.6097560975609756,57.0,23.0,0.0,0
2015-16,202703,Mirotic,5,6,0,0,5,Nikola Mirotic,66,3317,6,0.18088634308109738,245.0,6.0,0.0,0
