season,season_end_year,player_id,player_name,bench_games,total_games,bench_game_share,bench_minutes,bench_points,bench_points_per_game,bench_minutes_per_game,total_points,qualified
2012-13,2013,201158,Marco Belinelli,46,73,0.6301369863013698,943.5733333333334,351,7.630434782608695,20.512463768115943,702,False
2012-13,2013,203104,Marquis Teague,48,48,1.0,391.9216666666667,99,2.0625,8.165034722222222,99,True
2012-13,2013,101126,Nate Robinson,59,82,0.7195121951219512,1318.0816666666667,734,12.440677966101696,22.340367231638417,1074,True
2012-13,2013,1737,Nazr Mohammed,51,63,0.8095238095238095,380.6933333333333,79,1.5490196078431373,7.464575163398693,166,True
2012-13,2013,1888,Richard Hamilton,5,50,0.1,78.91666666666667,29,5.8,15.783333333333335,490,False
2012-13,2013,201959,Taj Gibson,60,65,0.9230769230769231,1243.3083333333334,437,7.283333333333333,20.721805555555555,517,True
2012-13,2013,2209,Vladimir Radmanovic,25,25,1.0,143.605,33,1.32,5.744199999999999,33,True
2013-14,2014,201858,Cartier Martin,6,6,1.0,47.69,15,2.5,7.948333333333333,15,True
2013-14,2014,201571,D.J. Augustin,52,61,0.8524590163934426,1513.2666666666669,749,14.403846153846153,29.101282051282055,909,True
2013-14,2014,203513,Erik Murphy,24,24,1.0,62.151666666666664,6,0.25,2.589652777777778,6,True
2013-14,2014,202363,Jarvis Varnado,1,1,1.0,2.05,0,0.0,2.05,0,True
2013-14,2014,202690,Jimmer Fredette,8,8,1.0,55.53,32,4.0,6.94125,32,True
2013-14,2014,2550,Kirk Hinrich,12,73,0.1643835616438356,306.68833333333333,94,7.833333333333333,25.55736111111111,666,False
2013-14,2014,200811,Lou Amundson,1,1,1.0,1.0666666666666669,0,0.0,1.0666666666666669,0,True
2013-14,2014,203104,Marquis Teague,17,19,0.8947368421052632,202.68833333333333,38,2.235294117647059,11.922843137254901,45,True
2013-14,2014,2399,Mike Dunleavy,21,82,0.25609756097560976,527.5416666666666,200,9.523809523809524,25.121031746031743,929,False
2013-14,2014,2229,Mike James,11,11,1.0,77.10666666666667,11,1.0,7.00969696969697,11,True
2013-14,2014,1737,Nazr Mohammed,79,80,0.9875,550.02,123,1.5569620253164558,6.962278481012658,124,True
2013-14,2014,200758,Ronnie Brewer,1,1,1.0,2.1,0,0.0,2.1,0,True
2013-14,2014,201959,Taj Gibson,74,82,0.9024390243902439,2012.7066666666667,915,12.364864864864865,27.19873873873874,1069,True
2013-14,2014,203503,Tony Snell,65,77,0.8441558441558441,834.4783333333334,234,3.6,12.838128205128205,346,True
2013-14,2014,203129,Tornike Shengelia,9,9,1.0,17.311666666666667,4,0.4444444444444444,1.9235185185185186,4,True
2014-15,2015,201166,Aaron Brooks,61,82,0.7439024390243902,1236.1833333333334,658,10.78688524590164,20.26530054644809,954,True
2014-15,2015,203946,Cameron Bairstow,17,18,0.9444444444444444,44.766666666666666,8,0.47058823529411764,2.6333333333333333,10,True
2014-15,2015,203926,Doug McDermott,36,36,1.0,320.8333333333333,109,3.0277777777777777,8.912037037037036,109,True
2014-15,2015,202734,E'Twaun Moore,56,56,1.0,504.28833333333336,149,2.6607142857142856,9.00514880952381,149,True
2014-15,2015,2550,Kirk Hinrich,44,66,0.6666666666666666,959.2466666666668,204,4.636363636363637,21.80106060606061,377,False
2014-15,2015,1737,Nazr Mohammed,23,23,1.0,128.04333333333332,27,1.173913043478261,5.567101449275362,27,True
2014-15,2015,202703,Nikola Mirotic,79,82,0.9634146341463414,1561.5716666666667,807,10.215189873417721,19.766729957805907,833,True
2014-15,2015,201959,Taj Gibson,45,62,0.7258064516129032,1123.2583333333334,439,9.755555555555556,24.9612962962963,640,True
2014-15,2015,203503,Tony Snell,50,72,0.6944444444444444,693.0133333333333,240,4.8,13.860266666666666,435,False
2015-16,2016,201166,Aaron Brooks,69,69,1.0,1107.71,491,7.115942028985507,16.05376811594203,491,True
2015-16,2016,1626171,Bobby Portis Jr.,58,62,0.9354838709677419,1046.75,412,7.103448275862069,18.04741379310345,436,True
2015-16,2016,203946,Cameron Bairstow,16,18,0.8888888888888888,82.05,22,1.375,5.128125,34,True
2015-16,2016,1626245,Cristiano Felicio,27,31,0.8709677419354839,231.32,73,2.7037037037037037,8.567407407407407,105,True
2015-16,2016,203926,Doug McDermott,77,81,0.9506172839506173,1771.935,718,9.324675324675324,23.012142857142855,764,True
2015-16,2016,202734,E'Twaun Moore,37,59,0.6271186440677966,579.32,178,4.8108108108108105,15.6572972972973,443,False
2015-16,2016,201149,Joakim Noah,27,29,0.9310344827586207,568.6866666666666,97,3.5925925925925926,21.062469135802466,124,True
2015-16,2016,203200,Justin Holiday,23,27,0.8518518518518519,394.31666666666666,114,4.956521739130435,17.144202898550724,176,True
2015-16,2016,2550,Kirk Hinrich,28,35,0.8,389.4316666666667,80,2.857142857142857,13.90827380952381,132,True
2015-16,2016,2399,Mike Dunleavy,1,31,0.03225806451612903,14.028333333333334,5,5.0,14.028333333333334,222,False
2015-16,2016,202703,Nikola Mirotic,28,66,0.42424242424242425,652.605,310,11.071428571428571,23.30732142857143,777,False
2015-16,2016,201959,Taj Gibson,18,73,0.2465753424657534,380.825,119,6.611111111111111,21.156944444444445,627,False
2015-16,2016,203503,Tony Snell,31,64,0.484375,518.465,167,5.387096774193548,16.72467741935484,338,False
2016-17,2017,201627,Anthony Morrow,9,9,1.0,87.31333333333333,41,4.555555555555555,9.701481481481482,41,True
2016-17,2017,1626171,Bobby Portis Jr.,51,64,0.796875,728.6116666666667,323,6.333333333333333,14.286503267973856,437,True
2016-17,2017,1626166,Cameron Payne,11,11,1.0,141.64333333333337,54,4.909090909090909,12.87666666666667,54,True
2016-17,2017,1626245,Cristiano Felicio,66,66,1.0,1040.0733333333333,316,4.787878787878788,15.758686868686867,316,True
2016-17,2017,1627756,Denzel Valentine,57,57,1.0,976.5283333333332,291,5.105263157894737,17.13207602339181,291,True
2016-17,2017,203926,Doug McDermott,40,44,0.9090909090909091,970.3383333333334,407,10.175,24.258458333333333,447,True
2016-17,2017,2548,Dwyane Wade,1,60,0.016666666666666666,28.033333333333335,15,15.0,28.033333333333335,1096,False
2016-17,2017,203477,Isaiah Canaan,39,39,1.0,592.1066666666667,181,4.641025641025641,15.182222222222222,181,True
2016-17,2017,1626170,Jerian Grant,35,63,0.5555555555555556,436.69666666666666,147,4.2,12.47704761904762,370,False
2016-17,2017,202710,Jimmy Butler III,1,76,0.013157894736842105,33.35,3,3.0,33.35,1816,False
2016-17,2017,203530,Joffrey Lauvergne,19,20,0.95,212.93333333333337,72,3.789473684210526,11.207017543859651,89,True
2016-17,2017,203487,Michael Carter-Williams,26,45,0.5777777777777777,380.7683333333333,120,4.615384615384615,14.644935897435897,297,False
2016-17,2017,202703,Nikola Mirotic,55,70,0.7857142857142857,1262.7166666666667,529,9.618181818181819,22.95848484848485,744,True
2016-17,2017,1627835,Paul Zipser,26,44,0.5909090909090909,391.46,124,4.769230769230769,15.056153846153846,240,False
2016-17,2017,1626154,RJ Hunter,3,3,1.0,9.15,0,0.0,3.0500000000000003,0,True
2016-17,2017,200765,Rajon Rondo,27,69,0.391304347826087,568.64,172,6.37037037037037,21.06074074074074,538,False
2017-18,2018,1628469,Antonio Blakeney,19,19,1.0,313.9,151,7.947368421052632,16.521052631578947,151,True
2017-18,2018,1626171,Bobby Portis Jr.,69,73,0.9452054794520548,1522.2483333333332,906,13.130434782608695,22.06157004830918,964,True
2017-18,2018,1626166,Cameron Payne,11,25,0.44,210.66666666666663,89,8.090909090909092,19.15151515151515,221,False
2017-18,2018,1626245,Cristiano Felicio,39,55,0.7090909090909091,549.33,158,4.051282051282051,14.085384615384616,308,True
2017-18,2018,1628021,David Nwaba,49,70,0.7,1050.6033333333332,337,6.877551020408164,21.440884353741495,555,True
2017-18,2018,1627756,Denzel Valentine,40,77,0.5194805194805194,994.895,380,9.5,24.872374999999998,783,False
2017-18,2018,204067,Jarell Eddie,1,1,1.0,2.9833333333333334,0,0.0,2.9833333333333334,0,True
2017-18,2018,1626170,Jerian Grant,48,74,0.6486486486486487,910.9883333333332,364,7.583333333333333,18.97892361111111,619,False
2017-18,2018,1627770,Kay Felder,14,14,1.0,133.84166666666667,55,3.9285714285714284,9.560119047619049,55,True
2017-18,2018,1627739,Kris Dunn,9,52,0.17307692307692307,231.9,114,12.666666666666666,25.766666666666666,699,False
2017-18,2018,202703,Nikola Mirotic,22,25,0.88,525.65,345,15.681818181818182,23.893181818181816,420,True
2017-18,2018,203943,Noah Vonleh,17,21,0.8095238095238095,281.77666666666664,104,6.117647058823529,16.575098039215685,145,True
2017-18,2018,201600,Omer Asik,4,4,1.0,61.32,4,1.0,15.33,4,True
2017-18,2018,1627835,Paul Zipser,42,54,0.7777777777777778,568.7833333333333,141,3.357142857142857,13.542460317460316,218,True
2017-18,2018,202347,Quincy Pondexter,22,23,0.9565217391304348,174.75833333333333,41,1.8636363636363635,7.943560606060606,45,True
2017-18,2018,1627853,Ryan Arcidiacono,24,24,1.0,304.12166666666667,48,2.0,12.67173611111111,48,True
2017-18,2018,203930,Sean Kilpatrick,8,9,0.8888888888888888,184.45,125,15.625,23.05625,139,True
2018-19,2019,1628469,Antonio Blakeney,54,57,0.9473684210526315,746.1533333333333,396,7.333333333333333,13.817654320987653,418,True
2018-19,2019,1626171,Bobby Portis Jr.,16,22,0.7272727272727273,356.25,240,15.0,22.265625,310,True
2018-19,2019,1629102,Brandon Sampson,12,14,0.8571428571428571,162.755,60,5.0,13.562916666666666,71,True
2018-19,2019,1626166,Cameron Payne,19,31,0.6129032258064516,241.8766666666667,74,3.8947368421052633,12.730350877192985,176,False
2018-19,2019,1628990,Chandler Hutchison,30,44,0.6818181818181818,503.045,132,4.4,16.768166666666666,229,False
2018-19,2019,1626245,Cristiano Felicio,60,60,1.0,746.3966666666666,240,4.0,12.439944444444444,240,True
2018-19,2019,203960,JaKarr Sampson,4,4,1.0,127.26666666666668,80,20.0,31.81666666666667,80,True
2018-19,2019,203953,Jabari Parker,22,39,0.5641025641025641,461.4316666666667,268,12.181818181818182,20.974166666666665,556,False
2018-19,2019,1627739,Kris Dunn,2,46,0.043478260869565216,45.91166666666667,14,7.0,22.955833333333334,519,False
2018-19,2019,1628374,Lauri Markkanen,1,52,0.019230769230769232,25.55666666666667,10,10.0,25.55666666666667,974,False
2018-19,2019,1628959,Rawle Alkins,9,10,0.9,100.13666666666668,30,3.3333333333333335,11.126296296296298,37,True
2018-19,2019,201577,Robin Lopez,38,74,0.5135135135135135,612.525,218,5.7368421052631575,16.119078947368422,704,False
2018-19,2019,1627853,Ryan Arcidiacono,49,81,0.6049382716049383,995.92,284,5.795918367346939,20.324897959183673,544,False
2018-19,2019,1627885,Shaquille Harrison,62,73,0.8493150684931506,1090.1133333333332,340,5.483870967741935,17.58247311827957,474,True
2018-19,2019,1627789,Timothe Luwawu-Cabarrot,23,29,0.7931034482758621,393.44166666666666,133,5.782608695652174,17.106159420289856,196,True
2018-19,2019,1627755,Tyler Ulis,1,1,1.0,0.8283333333333334,0,0.0,0.8283333333333334,0,True
2018-19,2019,1627215,Walt Lemon Jr.,3,6,0.5,77.53333333333333,48,16.0,25.844444444444445,86,False
2018-19,2019,1627782,Wayne Selden,30,43,0.6976744186046512,622.5083333333333,215,7.166666666666667,20.75027777777778,342,False
2018-19,2019,203897,Zach LaVine,1,63,0.015873015873015872,26.4,28,28.0,26.4,1492,False
2019-20,2020,1629690,Adam Mokoka,11,11,1.0,111.66666666666669,32,2.909090909090909,10.151515151515154,32,True
2019-20,2020,1628990,Chandler Hutchison,18,28,0.6428571428571429,295.6566666666667,127,7.055555555555555,16.425370370370374,218,False
2019-20,2020,1629632,Coby White,64,65,0.9846153846153847,1636.04,839,13.109375,25.563125,859,True
2019-20,2020,1626245,Cristiano Felicio,22,22,1.0,385.71666666666664,86,3.909090909090909,17.532575757575756,86,True
2019-20,2020,1629655,Daniel Gafford,36,43,0.8372093023255814,475.6283333333334,169,4.694444444444445,13.21189814814815,220,True
2019-20,2020,1627756,Denzel Valentine,31,36,0.8611111111111112,376.0516666666667,181,5.838709677419355,12.130698924731183,246,True
