SEASON,PLAYER_ID,PLAYER_NAME,GP,TOTAL_FGA,FGA,FGM,OTHER_FGA,FGA_SHARE,ATT_G,FG_PCT,PPS,EXCLUDED_HEAVES,RANK
2015-16,2399,Mike Dunleavy,31,188,3,1,185,0.015957446808510637,0.0967741935483871,0.3333333333333333,0.6666666666666666,0,157
2023-24,1641763,Julian Phillips,40,77,4,1,73,0.05194805194805195,0.1,0.25,0.5,0,157
2021-22,1628035,Alfonzo McKinnie,17,61,4,1,57,0.06557377049180328,0.23529411764705882,0.25,0.5,0,157
2017-18,1628469,Antonio Blakeney,19,143,4,1,139,0.027972027972027972,0.21052631578947367,0.25,0.5,0,157
2021-22,1629744,Matt Thomas,40,134,5,1,129,0.03731343283582089,0.125,0.2,0.4,0,157
2018-19,1627215,Walt Lemon Jr.,6,87,5,1,82,0.05747126436781609,0.8333333333333334,0.2,0.4,0,157
2016-17,203530,Joffrey Lauvergne,20,92,5,1,87,0.05434782608695652,0.25,0.2,0.4,0,157
2017-18,1626245,Cristiano Felicio,55,215,6,1,209,0.027906976744186046,0.10909090909090909,0.16666666666666666,0.3333333333333333,0,157
2022-23,1627936,Alex Caruso,67,286,7,1,279,0.024475524475524476,0.1044776119402985,0.14285714285714285,0.2857142857142857,0,157
2025-26,1631207,Dalen Terry,34,102,9,1,93,0.08823529411764706,0.2647058823529412,0.1111111111111111,0.2222222222222222,0,157
2021-22,1627936,Alex Caruso,41,256,12,1,244,0.046875,0.2926829268292683,0.08333333333333333,0.16666666666666666,0,157
2025-26,1631338,Mouhamadou Gueye,2,11,0,0,11,0.0,0.0,,,0,189
2025-26,1642280,Trentyn Flowers,2,3,0,0,3,0.0,0.0,,,0,189
2025-26,1642855,Noa Essengue,2,3,0,0,3,0.0,0.0,,,0,189
2024-25,1641801,Emanuel Miller,6,8,0,0,8,0.0,0.0,,,0,189
2023-24,1630929,Henri Drell,4,10,0,0,10,0.0,0.0,,,0,189
2022-23,1630792,Malcolm Hill,5,4,0,0,4,0.0,0.0,,,0,189
2021-22,1628395,Jordan Bell,1,0,0,0,0,,0.0,,,0,189
2021-22,1629076,Tyler Cook,20,38,0,0,38,0.0,0.0,,,0,189
2021-22,1630250,Marko Simonovic,9,15,0,0,15,0.0,0.0,,,0,189
2021-22,1630644,Mac McClung,1,1,0,0,1,0.0,0.0,,,0,189
2020-21,1626245,Cristiano Felicio,18,13,0,0,13,0.0,0.0,,,0,189
2020-21,1628436,Luke Kornet,13,27,0,0,27,0.0,0.0,,,0,189
2020-21,1629690,Adam Mokoka,14,19,0,0,19,0.0,0.0,,,0,189
2019-20,1629622,Max Strus,2,3,0,0,3,0.0,0.0,,,0,189
2019-20,1629690,Adam Mokoka,11,28,0,0,28,0.0,0.0,,,0,189
2018-19,1627755,Tyler Ulis,1,0,0,0,0,,0.0,,,0,189
2018-19,1627789,Timothe Luwawu-Cabarrot,29,175,0,0,175,0.0,0.0,,,0,189
2017-18,201600,Omer Asik,4,6,0,0,6,0.0,0.0,,,0,189
2017-18,204067,Jarell Eddie,1,1,0,0,1,0.0,0.0,,,0,189
2016-17,201627,Anthony Morrow,9,29,0,0,29,0.0,0.0,,,0,189
2016-17,1626154,RJ Hunter,3,1,0,0,1,0.0,0.0,,,0,189
2015-16,201149,Joakim Noah,29,133,0,0,133,0.0,0.0,,,0,189
2023-24,1641847,Andrew Funk,5,4,1,0,3,0.25,0.2,0.0,0.0,0,189
2022-23,1628396,Tony Bradley,12,12,1,0,11,0.08333333333333333,0.08333333333333333,0.0,0.0,0,189
2022-23,1630678,Terry Taylor,5,10,1,0,9,0.1,0.2,0.0,0.0,0,189
2021-22,1629653,Devon Dotson,11,23,1,0,22,0.043478260869565216,0.09090909090909091,0.0,0.0,0,189
2015-16,203200,Justin Holiday,27,155,1,0,154,0.0064516129032258064,0.037037037037037035,0.0,0.0,0,189
2015-16,203946,Cameron Bairstow,18,40,1,0,39,0.025,0.05555555555555555,0.0,0.0,0,189
2015-16,1626245,Cristiano Felicio,31,72,1,0,71,0.013888888888888888,0.03225806451612903,0.0,0.0,0,189
2025-26,1630644,Mac McClung,8,41,2,0,39,0.04878048780487805,0.25,0.0,0.0,0,189
2021-22,1628993,Alize Johnson,16,23,2,0,21,0.08695652173913043,0.125,0.0,0.0,0,189
2020-21,1629655,Daniel Gafford,31,87,2,0,85,0.022988505747126436,0.06451612903225806,0.0,0.0,0,189
2017-18,202703,Nikola Mirotic,25,302,2,0,300,0.006622516556291391,0.08,0.0,0.0,0,189
2025-26,1642530,Yuki Kawamura,18,52,3,0,49,0.057692307692307696,0.16666666666666666,0.0,0.0,0,189
2020-21,1629750,Javonte Green,16,31,3,0,28,0.0967741935483871,0.1875,0.0,0.0,0,189
