season,season_label,player_id,player_name,games,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,net_rating
2004,2003-04,2571,Leandro Barbosa,70,1500.565,550,123,165,93,7,120,470,61,-2.9
2004,2003-04,2669,Linton Johnson,41,732.4466666666667,173,183,27,37,32,37,203,37,-9.8
2004,2003-04,2557,Luke Ridnour,69,1112.7166666666667,382,108,163,52,7,80,350,79,-7.5
2004,2003-04,2575,Luke Walton,72,717.955,174,127,113,28,8,44,153,44,3.2
2004,2003-04,2573,Maciej Lampe,21,224.92166666666665,96,44,9,3,3,15,88,13,-12.2
2004,2003-04,2556,Marcus Banks,81,1377.5166666666667,480,133,175,88,13,125,442,131,-3.8
2004,2003-04,2605,Marquis Daniels,56,1033.9666666666667,477,146,116,53,12,44,411,78,0.3
2004,2003-04,2440,Matt Barnes,38,720.3866666666667,171,151,48,27,3,44,138,61,-13.0
2004,2003-04,2679,Matt Carroll,16,65.97166666666666,19,6,2,1,0,6,16,6,-2.5
2004,2003-04,2466,Maurice Carter,10,109.0,42,11,4,0,0,9,35,20,5.6
2004,2003-04,2552,Michael Sweetney,42,496.695,180,157,14,18,12,32,140,58,3.7
2004,2003-04,2554,Mickael Pietrus,53,752.4333333333333,279,119,27,32,12,40,231,75,4.6
2004,2003-04,2590,Mo Williams,57,772.9516666666667,284,72,76,28,2,51,303,56,-4.6
2004,2003-04,2569,Ndudi Ebi,17,31.525,13,3,3,0,4,3,14,4,-16.7
2004,2003-04,2241,Omar Cook,17,138.145,14,6,24,10,0,10,27,0,-10.5
2004,2003-04,2221,Raul Lopez,82,1622.225,572,155,305,62,2,174,517,117,-1.1
2004,2003-04,2558,Reece Gaines,38,354.62666666666667,69,39,40,11,2,18,86,25,-1.2
2004,2003-04,2499,Richie Frahm,54,458.67,183,56,24,16,4,7,139,26,7.2
2004,2003-04,2648,Ronald Dupree,47,901.7766666666666,292,167,55,32,18,51,282,105,-5.7
2004,2003-04,2562,Sasha Pavlovic,79,1136.5083333333334,382,159,60,41,16,67,376,84,-2.3
2004,2003-04,2582,Slavko Vranes,1,2.75,0,0,0,0,0,0,1,0,25.0
2004,2003-04,2581,Steve Blake,75,1387.2433333333333,444,117,209,57,7,128,407,67,-3.6
2004,2003-04,2551,T.J. Ford,55,1484.0883333333334,391,177,356,60,3,139,398,98,0.2
2004,2003-04,2604,Theron Smith,20,178.94,44,41,7,5,5,14,43,8,1.1
2004,2003-04,1765,Torraye Braggs,15,149.80833333333334,40,39,7,4,2,13,33,12,8.4
2004,2003-04,2580,Travis Hansen,41,509.5516666666667,123,70,19,10,9,15,130,27,0.1
2004,2003-04,2566,Travis Outlaw,8,18.738333333333333,8,4,1,1,0,1,7,4,-52.4
2004,2003-04,2559,Troy Bell,6,34.9,11,4,4,1,0,6,18,3,7.9
2004,2003-04,2617,Udonis Haslem,75,1796.5316666666668,550,473,51,33,24,74,447,183,-0.2
2004,2003-04,2584,Willie Green,53,767.5016666666667,364,65,53,26,5,59,357,81,-3.5
2004,2003-04,2560,Zarko Cabarkapa,49,574.5916666666667,203,99,40,10,13,54,197,53,-11.7
2004,2003-04,2585,Zaza Pachulia,59,658.9166666666666,194,174,13,21,12,34,175,90,-3.8
2004,2003-04,2565,Zoran Planinic,49,466.74333333333334,153,55,68,13,3,36,129,60,-8.5
2005,2004-05,2744,Al Jefferson,71,1044.215,475,312,24,22,55,66,369,135,-1.5
2005,2004-05,2760,Anderson Varejao,54,868.7616666666667,266,257,27,41,38,26,193,127,5.5
2005,2004-05,2857,Andre Barrett,38,476.95666666666665,118,40,69,19,1,27,124,19,2.1
2005,2004-05,2765,Andre Emmett,8,25.94,7,2,0,0,0,1,6,5,-11.9
2005,2004-05,2738,Andre Iguodala,82,2680.8433333333332,741,464,246,138,48,139,546,210,0.0
2005,2004-05,2804,Andres Nocioni,81,1895.4983333333332,677,386,122,37,34,135,601,222,-3.8
2005,2004-05,2740,Andris Biedrins,30,382.305,109,118,12,12,24,12,78,40,7.2
2005,2004-05,2766,Antonio Burks,24,217.41166666666666,73,12,28,13,1,12,60,19,-6.3
